"age","identifies_as_man","identifies_as_woman","identifies_as_hispanic_or_latinx","identifies_as_black","identifies_as_white","highest_education_level","length_in_this_facility","state","party","how_often_discuss_politics","how_get_news","ever_voted","direction_country_headed","how_often_officials_acting_in_your_interest","which_party_for_cj_reform","stance_on_assault_weapons_ban","stance_on_marijuana_legalization","stance_on_tightening_border_security","stance_on_raise_min_wage","race_affects_politics","should_incarcerated_vote","incarceration_impacts_motivation_to_vote","politics_changed_since_incarcerated","cj_important_issue_eliminating_mandatory_mins","cj_important_issue_reducing_racial_bias","cj_important_issue_abolishing_death_penalty","cj_important_issue_lowering_incarceration_rates_rural_communities","cj_important_issue_improving_prison_conds","cj_important_issue_restoring_voting_rights","cj_important_issue_reducing_prison_pop","cj_important_issue_ending_war_on_drugs","cj_important_issue_ending_private_prisons","cj_important_issue_lowering_sentences_violent_crimes","cj_important_issue_raising_wages_incarcerated_workers","who_vote_for","approve_disapprove_trump"
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Word of mouth","No","In between","Never","Don't know / No opinion","Strongly oppose","Strongly support","Strongly support","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","No","In between","Sometimes","Republicans","Strongly oppose","Strongly support","Strongly support","Support","A great deal","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Word of mouth",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","Yes","In between","Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Cable news","No","In between","Sometimes","Democrats","Support","Support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","No","Wrong track","Rarely","Neither is committed","Oppose","Support","Oppose","Strongly support","A great deal","Yes","Increased my motivation to vote","Yes","1","1","0","0","0","0","1","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Do not have access to news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","Yes","Wrong track","Rarely","Neither is committed","Strongly oppose","Strongly support","Strongly support","Oppose","Not at all","No","No impact","No","0","0","0","0","0","0","0","0","0","0","1",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","No","No opinion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","Yes","In between","Sometimes","Democrats","Strongly support","Support","Undecided","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Local radio","No","Wrong track","Always","Don't know / No opinion","Support","Oppose","Strongly oppose",NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Local TV news","Yes","In between","Rarely","Republicans","Support",NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","No","In between","Rarely","Democrats","Support","Undecided","Strongly oppose","Strongly support","Somewhat","Yes","No impact","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Local TV news","Yes","In between",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","No","In between","Don't know / No opinion","Democrats","Strongly support","Strongly support","Strongly support","Strongly support","Not sure","No",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","Yes","No opinion","Rarely","Don't know / No opinion","Support","Oppose",NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Newspapers","Yes","In between","Sometimes","Democrats","Undecided","Strongly support","Support","Strongly support","Somewhat","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","No","In between","Sometimes","Don't know / No opinion","Undecided","Support","Oppose","Strongly support",NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Do not have access to news","No","Wrong track","Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never","Do not have access to news","No","No opinion","Don't know / No opinion","Don't know / No opinion",NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","No","Wrong track","Never","Don't know / No opinion","Strongly oppose","Strongly support","Strongly oppose","Strongly support","A great deal","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Very Frequently",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Cable news","No","Wrong track","Rarely","Neither is committed","Oppose","Strongly support","Support","Support","Somewhat","Yes",NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Very Frequently","Cable news",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Newspapers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Never",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Do not read / watch / listen to the news","No","No opinion",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Local TV news","No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Occasionally","Local TV news","No","No opinion","Don't know / No opinion","Don't know / No opinion","Undecided","Support","Strongly oppose","Strongly support","Not sure","Yes","No impact","No","0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Frequently","Local radio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","0","0","0","0","0","0","0","0","0","0",NA,NA
NA,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,"Rarely","Cable news","No","Right direction","Rarely","Don't know / No opinion","Strongly oppose","Strongly support","Strongly support","Strongly support","Not sure","Yes","Increased my motivation to vote","Yes","0","0","0","0","0","0","0","0","0","0","0",NA,NA
